trait,correlation_coef,pvalue,Severe_type
TNF_a,-0.410263468052052,0.00206205742643907,Severe
Alb_Glb,0.158235672977689,0.00239722721323678,Nonsevere
ALT,-0.108012154119291,0.0295519545714554,Severe
AST,-0.157791731823018,0.00138618719079765,Severe
B_cell,-0.227996122300908,0.0151503965471653,Nonsevere
B_cell_%,-0.240654213161905,0.0060106898899039,Nonsevere
BASO,0.197128921406846,0.0000393102334981904,Nonsevere
BASO_%,0.250428051788651,0.0000000306270271032993,Nonsevere
CD3_%,0.333431038242921,0.0000154522648070389,Nonsevere
CD4_CD8_ratio,-0.27596986732467,0.000429890280617793,Unknown
CD8+,0.183128834227596,0.0291519121210374,Nonsevere
CHOL,0.131029626897611,0.0109819407546964,Unknown
CK,-0.293253337016882,0.00000000713993299194064,Severe
Cl,-0.175236249787907,0.000840245692942537,Nonsevere
Cys_C,0.185771351238846,0.00197737381417676,Severe
eGFR,0.106558702236398,0.0454296091017199,Unknown
EOS,0.260637715837057,0.0000000447016786790115,Nonsevere
EOS_%,0.257732947819985,0.0000000120570414285853,Nonsevere
ESR,0.355406608027151,0.00058710205726002,Severe
Glb,-0.198927034080772,0.0000467752518005803,Severe
GLU,-0.294780270644693,0.00000000255218767454316,Severe
HBDH,-0.171634119359002,0.00141872289318753,Unknown
HCO3,-0.312846344696054,0.00115683430756575,Severe
IBIL,-0.115885106742526,0.0240583244912065,Severe
IL_6,0.13980601459333,0.0147054944820702,Severe
LDH,-0.172981397570806,0.00125675442726237,Severe
LDL_C,0.12794922699986,0.013028830464655,Nonsevere
Lymphocyte,-0.115055031504654,0.016866352434081,Nonsevere
Mg,-0.241992516352469,0.00000205914605185288,Unknown
Monocyte,0.168323956843186,0.00044908636375347,Nonsevere
Na,-0.256966859655663,0.000000208817279522654,Nonsevere
PCT,0.108742755141812,0.0417434191900235,Severe
PCV,-0.299126662463819,0.0000000000257224446437066,Unknown
PT,-0.126077774816387,0.0219764814074755,Severe
RBC_Hgb,0.252230141853114,0.000000131873744137479,Unknown
RBC_urine(hp),-0.220433358061315,0.00538385445045292,Severe
TBIL,-0.109291079650055,0.0267212932187167,Severe
TP,-0.14901525779303,0.0024258712444236,Unknown
