feature	start	end	ORF	gene
mat_peptide	266	805	ORF1ab	nsp1
mat_peptide	806	2719	ORF1ab	nsp2
mat_peptide	2720	8554	ORF1ab	nsp3
mat_peptide	8555	10054	ORF1ab	nsp4
mat_peptide	10055	10972	ORF1ab	nsp5
mat_peptide	10973	11842	ORF1ab	nsp6
mat_peptide	11843	12091	ORF1ab	nsp7
mat_peptide	12092	12685	ORF1ab	nsp8
mat_peptide	12686	13024	ORF1ab	nsp9
mat_peptide	13025	13441	ORF1ab	nsp10
mat_peptide	13442	13480	ORF1ab	nsp11
mat_peptide	13442	13468	ORF1ab	nsp12
mat_peptide	13468	16236	ORF1ab	nsp12
mat_peptide	16237	18039	ORF1ab	nsp13
mat_peptide	18040	19620	ORF1ab	nsp14
mat_peptide	19621	20658	ORF1ab	nsp15
mat_peptide	20659	21552	ORF1ab	nsp16
gene	21563	25384	S	S
gene	25393	26220	ORF3a	ORF3a
gene	26245	26472	E	E
gene	26523	27191	M	M
gene	27202	27387	ORF6	ORF6
gene	27394	27759	ORF7a	ORF7a
gene	27756	27887	ORF7b	ORF7b
gene	27894	28259	ORF8	ORF8
gene	28274	29533	N	N
gene	29558	29674	ORF10	ORF10
